timestamp,frame_index,base_x,base_y,base_theta,lift,arm,wrist_roll,wrist_pitch,wrist_yaw,gripper_finger_right,base_x_joint,base_y_joint,base_theta_joint,joint_lift,joint_arm_l0,joint_wrist_roll,joint_wrist_pitch,joint_wrist_yaw,stretch_gripper,gripper_width_m,commanded_gripper_width_m,image_teleop_webcam
0.14209628105163574,0,0.00016576398304651721,2.250066943258744e-06,0.15845305556677702,0.6898433505985472,0.2099986092292234,2.535670242374965,0.08897088569736719,-0.3425890426277932,9.421709999193608,0.00016576398304651721,2.250066943258744e-06,0.41143419652053215,0.618660160973521,0.2782482436280246,2.828814974689181,0.11381322591817084,-0.8111739615829738,200.0,0.012113627141820352,0.2571428571428571,images/teleop_webcam_000000.jpg
0.29892754554748535,1,0.00015080923544863933,-2.852681542028779e-07,0.16452249179304534,0.6817832902458253,0.2180577040526949,2.6154372433450184,0.08897088569736719,-0.4403803178555028,9.421709999193608,0.00015080923544863933,-2.852681542028779e-07,0.415854090897187,0.620368914723008,0.2818877260878467,2.8548844543180856,0.11346903267450444,-0.8207051583119682,200.0,0.012113627141820352,0.2571428571428571,images/teleop_webcam_000001.jpg
0.7958431243896484,2,0.00020605069082961828,8.896042981288224e-06,0.1846099095153245,0.657515027068123,0.24235112300806183,2.7044081290423856,0.08897088569736719,-0.7574030140185354,9.421709999193608,0.00020605069082961828,8.896042981288224e-06,0.41897574856282993,0.6230389166414915,0.28483434631917653,2.874959454839514,0.11622559981884689,-0.8276171609610473,200.0,0.012113627141820352,0.2571428571428571,images/teleop_webcam_000002.jpg
0.9364168643951416,3,0.0001934538891759938,6.441413782112132e-06,0.19085213774518087,0.64920332433254,0.2506185063450996,2.7044081290423856,0.08897088569736719,-0.7995874856853905,9.421709999193608,0.0001934538891759938,6.441413782112132e-06,0.4242569382822614,0.6255321588083497,0.28745743391904627,2.890939173932783,0.1174138634301749,-0.8328599337789369,200.0,0.012113627141820352,0.2571428571428571,images/teleop_webcam_000003.jpg
1.0603442192077637,4,0.00015569670618408547,-1.0652087314433345e-06,0.19512159395336773,0.6435216269180055,0.25652277466389317,2.7212819177091276,0.08897088569736719,-0.8219580388420561,9.421709999193608,0.00015569670618408547,-1.0652087314433345e-06,0.42706805078681487,0.6276768068083719,0.28946423009651195,2.9044928110510737,0.11904857730747272,-0.8372011245501455,200.0,0.012113627141820352,0.2571428571428571,images/teleop_webcam_000004.jpg
1.1942825317382812,5,0.00016828820163388748,1.407436083387427e-06,0.2007158503256706,0.6385332938803351,0.262502451248009,2.724349879284899,0.09050486648525283,-0.8289887841198653,9.421709999193608,0.00016828820163388748,1.407436083387427e-06,0.42786692573259955,0.6293833882482069,0.29082625180097343,2.9163537787475375,0.1216384457381394,-0.8412215834944639,200.0,0.012113627141820352,0.2571428571428571,images/teleop_webcam_000005.jpg
1.345226526260376,6,0.00013973797320038402,-4.554577752705416e-06,0.20633888938305353,0.6328766587065949,0.2702107877436604,2.739689687163755,0.09050486648525283,-0.8321845774279603,9.421709999193608,0.00013973797320038402,-4.554577752705416e-06,0.43071874672221666,0.6307860090761943,0.2917620232731537,2.926056502764164,0.12257003977240227,-0.844901396447197,200.0,0.012113627141820352,0.2571428571428571,images/teleop_webcam_000006.jpg
1.4833166599273682,7,0.00012262698289500435,-8.211602224289256e-06,0.2112707309205126,0.6297133522151519,0.27580261675079093,2.745825610315298,0.09050486648525283,-0.8372978467209125,9.421709999193608,0.00012262698289500435,-8.211602224289256e-06,0.43026236330839907,0.6316327576235001,0.2922770891761855,2.933777176407433,0.12308642277962957,-0.8481639829484451,200.0,0.012113627141820352,0.2571428571428571,images/teleop_webcam_000007.jpg
1.626373291015625,8,8.275636025818376e-05,-1.7025751077884288e-05,0.21772896452233925,0.6263499849294598,0.28161585614694185,2.75196153346684,0.09203884727313848,-0.8385761640441507,9.421709999193608,8.275636025818376e-05,-1.7025751077884288e-05,0.4322356587417266,0.6321330428616809,0.2924258501936636,2.9401844664317416,0.12407128668018774,-0.8515267143421286,200.0,0.012113627141820352,0.2571428571428571,images/teleop_webcam_000008.jpg
1.7685246467590332,9,0.00010664668728883799,-1.1598183616699786e-05,0.2225600199448631,0.6246533295119531,0.2852192304242215,2.7550294950426113,0.09203884727313848,-0.8430502746754837,9.421709999193608,0.00010664668728883799,-1.1598183616699786e-05,0.4303837848287665,0.6320811512145581,0.2921330585655841,2.9461106436465307,0.12539195812524973,-0.8546468363476548,200.0,0.012113627141820352,0.2571428571428571,images/teleop_webcam_000009.jpg
